ANNO;COD_ATENEO;NOME_ATENEO;Reg_ATENEO;AREA_GEO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;N_PERS
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;27
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;19
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;93
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;104
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;300
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;182
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;0
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;7CL;Collaboratori linguistici;0
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;215
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;10
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;91
2015;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;6
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);12
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);16
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;35
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;56
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;59
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;112
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;0
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;0
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;0
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;M;7CL;Collaboratori linguistici;0
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;7
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;0
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;4
2015;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;0
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);428
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);790
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;391
